ID,Distance,Variety
747,0.524035088,PASJA_POMORSKA
748,0.659298246,PASJA_POMORSKA
749,0.469473684,PASJA_POMORSKA
750,0.489649123,PASJA_POMORSKA
751,0.436315789,PASJA_POMORSKA
752,0.405263158,PASJA_POMORSKA
753,0.582280702,PASJA_POMORSKA
754,0.492807018,PASJA_POMORSKA
755,0.418421053,PASJA_POMORSKA
756,0.398245614,PASJA_POMORSKA
757,0.620526316,PASJA_POMORSKA
758,0.46,PASJA_POMORSKA
759,0.463157895,PASJA_POMORSKA
760,0.626140351,PASJA_POMORSKA
761,0.447894737,PASJA_POMORSKA
762,0.414385965,PASJA_POMORSKA
763,0.636140351,PASJA_POMORSKA
764,0.581754386,PASJA_POMORSKA
765,0.436491228,PASJA_POMORSKA
766,0.453333333,RUDAWA
767,0.482982456,RUDAWA
768,0.50122807,RUDAWA
769,0.472280702,RUDAWA
770,0.608596491,RUDAWA
771,0.42245614,RUDAWA
772,0.518421053,RUDAWA
773,0.439824561,RUDAWA
774,0.536315789,RUDAWA
775,0.55,RUDAWA
776,0.516842105,RUDAWA
777,0.455438596,RUDAWA
778,0.475964912,RUDAWA
779,0.518070175,RUDAWA
780,0.529298246,RUDAWA
781,0.503859649,RUDAWA
782,0.484736842,RUDAWA
783,0.552982456,RUDAWA
784,0.509473684,RUDAWA
785,0.528947368,RUDAWA
786,0.628596491,RUDAWA
787,0.498070175,RUDAWA
788,0.586491228,RUDAWA
789,0.497192982,RUDAWA
790,0.625438596,RUDAWA
791,0.610350877,RUDAWA
792,0.612631579,RUDAWA
793,0.534035088,RUDAWA
794,0.557017544,RUDAWA
795,0.586491228,RUDAWA
796,0.575964912,RUDAWA
797,0.544912281,RUDAWA
798,0.570175439,RUDAWA
799,0.484035088,RUDAWA
800,0.472105263,RUDAWA
801,0.644736842,RUDAWA
802,0.405263158,RUDAWA
803,0.430701754,RUDAWA
804,0.460526316,RUDAWA
805,0.503157895,RUDAWA
806,0.533508772,RUDAWA
807,0.45,RUDAWA
808,0.477017544,RUDAWA
809,0.428245614,RUDAWA
810,0.494035088,RUDAWA
811,0.554035088,RUDAWA
812,0.534210526,RUDAWA
813,0.507192982,RUDAWA
814,0.466842105,RUDAWA
815,0.586140351,RUDAWA
816,0.445438596,RUDAWA
817,0.517719298,RUDAWA
818,0.472631579,RUDAWA
819,0.535263158,RUDAWA
820,0.501754386,RUDAWA
821,0.541578947,RUDAWA
822,0.479122807,RUDAWA
823,0.513508772,RUDAWA
824,0.519824561,RUDAWA
825,0.48877193,RUDAWA
826,0.492982456,RUDAWA
827,0.479649123,RUDAWA
828,0.607017544,RUDAWA
829,0.447368421,RUDAWA
830,0.502807018,RUDAWA
831,0.459649123,RUDAWA
832,0.466140351,RUDAWA
833,0.516140351,RUDAWA
834,0.527017544,RUDAWA
835,0.433859649,RUDAWA
836,0.441578947,RUDAWA
837,0.451929825,RUDAWA
838,0.513157895,RUDAWA
839,0.480175439,RUDAWA
840,0.506842105,RUDAWA
841,0.581578947,RUDAWA
842,0.657719298,RUDAWA
843,0.585614035,RUDAWA
