SampleID,Cultivar,Group,Color,Select,root_shoot_biomass,root_length,root_biomass,Bac_richness,Bac_shannon,Fun_richness,Fun_shannon,RE_richness,RE_shannon,Mean
S109_16S,Janka,a,no,no,0.270021547,0.804518024,-0.190843416,0.087264776,0.150127262,0.54052751,0.614347953,0.959606347,0.941120642,0.464076739
S49_16S,Janka,a,no,no,-0.528060209,-0.439237682,0.135902119,1.885788983,0.606870508,0.017312269,-0.002459109,0.959606347,0.941120642,0.397427096
S67_16S,Janka,a,no,no,0.762463603,1.61566305,0.460894057,-0.100784671,-0.155939678,-0.99641726,-0.221479904,0.959606347,0.941120642,0.362791798
S10_16S,Jelly,d,d,d,0.071094608,0.398945511,0.531822045,-0.544388497,-0.294818234,0.082714174,-0.394037571,0.372033477,0.251618068,0.052775953
S125_16S,Jelly,d,d,d,-0.542983378,1.750853888,0.468396758,-0.038101522,-0.013997657,0.409723699,0.594704841,0.372033477,0.251618068,0.361360908
S80_16S,Jelly,d,d,d,0.596936,0.398945511,-0.259930351,-2.256120651,-0.804681484,0.769434177,0.933290101,0.372033477,0.251618068,0.000169428
S105_16S,Kama,b,no,b,0.602964319,0.669327186,-0.61992853,0.887680375,0.387120847,-0.800211544,-0.590432803,2.575431741,2.393016176,0.611663085
S27_16S,Kama,b,no,b,-0.334701219,0.804518024,0.440667091,-1.552140667,-0.4775813,-1.486931548,-0.203843031,2.575431741,2.393016176,0.239826141
S56_16S,Kama,b,no,b,0.143851488,2.426808076,0.755581686,-0.419022199,-0.13000322,0.67133132,0.577326306,2.575431741,2.393016176,0.999369042
S103_16S,King Edward Vii,b,no,no,-1.08961134,-0.006627002,-0.459984684,0.11137368,0.298194057,0.344321794,0.573338404,0.420997882,0.247304797,0.048811954
S35_16S,King Edward Vii,b,no,no,-1.190267277,-0.952962865,-1.115372533,-0.713150822,-0.091819053,0.148116079,0.345037843,0.420997882,0.247304797,-0.322457328
S53_16S,King Edward Vii,b,no,no,-0.5598848,-0.006627002,-0.401006353,-0.819229998,-0.147713602,0.377022747,0.736835258,0.420997882,0.247304797,-0.016922341
S152_16S,Kmiec,b,no,no,0.722126917,-0.14181784,1.698803943,1.254135709,0.517909002,0.900237988,0.574344384,0.714784317,0.619783671,0.762256455
S5_16S,Kmiec,b,no,no,0.738432897,1.61566305,0.019545934,0.318710251,0.32148407,0.278919889,-0.106070759,0.714784317,0.619783671,0.50236148
S79_16S,Kmiec,b,no,no,-0.672877332,1.210090537,-0.55376103,-0.317764804,-0.079657124,-0.178893446,0.027906269,0.714784317,0.619783671,0.08551234
S150_16S,Krab,b,b,b,0.018301715,-1.358535378,-0.5359443,1.577195017,0.621346478,0.67133132,0.33979024,-0.607254642,-0.580085772,0.016238298
S36_16S,Krab,b,b,b,-0.932057322,-0.412199515,-0.832538595,-0.062210426,-0.026774334,1.161845608,0.987424144,-0.607254642,-0.580085772,-0.144872317
S55_16S,Krab,b,b,b,-0.494905436,-1.628917054,-0.815791453,1.19145256,0.407052997,0.605929415,0.607885333,-0.607254642,-0.580085772,-0.14607045
S128_16S,Moni,b,no,no,-0.416356557,-1.088153703,-0.851086163,-0.028457961,0.007575384,1.161845608,-0.034407789,-1.292756325,-1.494320777,-0.448457587
S31_16S,Moni,b,no,no,-0.552659206,-0.006627002,-0.67491924,-0.351517269,-0.056948355,-5.11673728,-4.200345538,-1.292756325,-1.494320777,-1.527425666
S91_16S,Moni,b,no,no,0.781697653,-1.088153703,1.139401558,0.395858742,0.317472846,0.573228462,0.389665656,-1.292756325,-1.494320777,-0.030878432
S102_16S,Orlik Cs,b,no,no,0.069744643,-2.345428493,-1.879438201,0.998581332,0.352804842,0.605929415,-0.408716353,-0.264503801,-0.439384316,-0.367823437
S118_16S,Orlik Cs,b,no,no,-2.009491974,-1.764107891,-1.879438201,0.309066689,0.19263943,-1.944744883,-3.333721654,-0.264503801,-0.439384316,-1.237076289
S41_16S,Orlik Cs,b,no,no,-2.009491974,-2.44006208,-1.879438201,0.000472724,0.141829451,-0.244295351,-0.000989284,-0.264503801,-0.439384316,-0.792873648
S134_16S,Pasja Pomorska,a,a,a,-0.039767255,-0.817772028,-0.206832453,0.704452708,0.415308361,0.507826557,0.359977101,1.15546397,1.258944626,0.370844621
S28_16S,Pasja Pomorska,a,a,a,-0.543244702,-1.088153703,-0.180995702,-0.144180698,0.038195374,0.80213513,0.858103677,1.15546397,1.258944626,0.23958533
S59_16S,Pasja Pomorska,a,a,a,-0.051240364,1.345281375,-0.014712243,-0.761368629,-0.114694976,-0.146192494,-0.060332308,1.15546397,1.258944626,0.290127662
S116_16S,Rudawa,d,d,d,-0.453327482,-0.14181784,0.488888013,1.620591044,0.570152919,-2.239053456,-4.180674449,0.959606347,0.998095381,-0.264171058
S23_16S,Rudawa,d,d,d,0.147223434,0.669327186,1.137366238,-0.380447953,-0.048207848,-0.244295351,-0.640458297,0.959606347,0.998095381,0.288689904
S82_16S,Rudawa,d,d,d,1.818911525,2.426808076,1.964441935,1.119125849,0.548160017,-0.800211544,-0.758555046,0.959606347,0.998095381,0.91959806
S104_16S,Sagitta,d,no,no,-0.734185349,-0.68258119,-1.120196895,-1.026566569,-0.362838545,0.082714174,0.936250415,0.053764838,-0.498040761,-0.372408876
S20_16S,Sagitta,d,no,no,-0.041381156,-0.412199515,-0.913472607,-1.465348614,-0.747581966,0.148116079,0.504152978,0.053764838,-0.498040761,-0.374665636
S58_16S,Sagitta,d,no,no,-0.148482028,0.669327186,-1.051845416,0.371749839,0.248599571,0.246218937,0.546505333,0.053764838,-0.498040761,0.048644166
S147_16S,Salto,b,b,b,-0.138178615,-0.412199515,0.595864952,1.196274341,0.55734804,1.161845608,0.501749995,0.5678911,0.257296209,0.476432457
S24_16S,Salto,b,b,b,1.1796908,0.263754673,1.494872925,0.767135857,0.475761468,0.605929415,-0.026669635,0.5678911,0.257296209,0.620629201
S99_16S,Salto,b,b,b,1.775314379,2.021235563,2.531127017,0.839462568,0.328923013,0.213517984,0.523963938,0.5678911,0.257296209,1.006525752
S127_16S,Syrena,b,no,no,1.012882917,-0.006627002,-0.058330207,0.820175445,0.430839649,-0.146192494,-0.11562152,-0.166574989,-0.221436538,0.172123918
S77_16S,Syrena,b,no,no,-0.118746723,2.156426401,0.170706309,-0.042923303,-0.023390666,0.900237988,0.257551704,-0.166574989,-0.221436538,0.323538909
S8_16S,Syrena,b,no,no,-1.256407274,1.345281375,-1.125312607,-0.611893427,-0.057043633,-0.309697256,0.169898083,-0.166574989,-0.221436538,-0.248131807
S121_16S,Szyper,a,no,no,-0.246142626,0.263754673,0.994520087,2.483689792,0.68547616,-0.080790589,0.228388107,-0.901041077,-0.470939255,0.328546141
S14_16S,Szyper,a,no,no,0.011733665,-0.006627002,0.293444784,-0.197220286,0.085895482,-1.912043931,-0.716738448,-0.901041077,-0.470939255,-0.42372623
S63_16S,Szyper,a,no,no,2.156728692,0.669327186,2.888610719,0.309066689,0.240269278,0.050013222,0.13959253,-0.901041077,-0.470939255,0.564625332
S119_16S,Tewadi,a,no,no,-0.768812151,0.939708862,-0.744804415,-0.510636032,0.01020692,0.507826557,-1.201594337,0.91064194,0.902507073,0.005004935
S17_16S,Tewadi,a,no,no,0.100840803,-0.006627002,1.373337336,1.143234753,0.26499282,1.423453228,0.849975601,0.91064194,0.902507073,0.773595173
S81_16S,Tewadi,a,no,no,-1.103249077,0.398945511,-0.53186009,0.926254621,0.45661177,-0.375099161,-0.261855887,0.91064194,0.902507073,0.146988522
S112_16S,Ursus,c,no,no,1.024610952,1.210090537,0.701847204,-0.230972751,-0.009443171,0.377022747,0.371044135,1.008570753,1.221248998,0.6304466
S6_16S,Ursus,c,no,no,0.131782856,-0.817772028,0.008156766,-0.611893427,-0.198638651,-1.552333453,-1.737044489,1.008570753,1.221248998,-0.283102519
S93_16S,Ursus,c,no,no,-0.453233506,-0.412199515,-0.090895106,-0.259903435,0.071805821,0.344321794,0.219629051,1.008570753,1.221248998,0.183260539
S129_16S,Wiebke,b,no,no,-0.758135838,-0.006627002,-0.598883037,0.067977654,0.11172648,0.180817032,0.453513666,-0.656219047,-0.647052724,-0.205875869
S21_16S,Wiebke,b,no,no,-0.915515575,-3.251207106,-0.982720758,-0.187576724,0.136032829,0.769434177,1.094417006,-0.656219047,-0.647052724,-0.51560088
S71_16S,Wiebke,b,no,no,-0.920593311,0.398945511,-0.964218229,-0.56367562,-0.057640081,-1.25802488,-2.308531274,-0.656219047,-0.647052724,-0.775223295
S108_16S,Wolfram,a,no,no,-0.675419252,1.074899699,-0.137908082,0.236739979,0.087271096,0.278919889,0.720959798,-0.607254642,-0.670011893,0.034244066
S40_16S,Wolfram,a,no,no,-0.87554941,0.263754673,-0.866003564,-0.038101522,-0.052815409,-1.813941073,-1.61572363,-0.607254642,-0.670011893,-0.697294052
S68_16S,Wolfram,a,no,no,0.387946842,0.196159255,2.020573058,0.328353812,0.330037555,0.736733225,0.557682073,-0.607254642,-0.670011893,0.36446881
S124_16S,Wyszoborski,a,no,no,-0.321595283,0.534136349,-0.062449182,-1.065140814,-0.367501044,-1.5196325,-1.398579284,-0.019681771,0.107537119,-0.456989601
S19_16S,Wyszoborski,a,no,no,-0.038245833,-0.412199515,0.661521047,0.501937918,0.207523732,0.93293894,0.804008261,-0.019681771,0.107537119,0.305037767
S94_16S,Wyszoborski,a,no,no,0.29059093,-0.14181784,1.115374261,0.265670663,0.331419461,-1.912043931,-1.689209537,-0.019681771,0.107537119,-0.183573405
S106_16S,Zagloba,d,no,no,-0.088399462,-1.628917054,-0.715521335,0.256027101,0.223590439,0.54052751,0.929374247,0.029282634,0.238104198,-0.023992414
S51_16S,Zagloba,d,no,no,-0.829476312,0.196159255,-0.732503685,0.752670515,-2.59E-05,-0.702108687,-0.225860314,0.029282634,0.238104198,-0.1415287
S57_16S,Zagloba,d,no,no,-0.203392793,-0.547390352,-0.735844137,-1.296586289,-0.704184373,-0.407800114,-0.475689705,0.029282634,0.238104198,-0.455944548
S100_16S,Zenia,b,no,no,0.056604943,0.128563836,-0.054456764,2.232957195,0.757215226,0.80213513,0.836855871,-0.313468206,-0.599737142,0.427407788
S111_16S,Zenia,b,no,no,0.161370248,0.128563836,-0.836256478,0.627304217,0.187246008,-0.276996304,-0.205388839,-0.313468206,-0.599737142,-0.125262518
S37_16S,Zenia,b,no,no,-0.389660736,0.669327186,0.199263377,-0.959061639,-0.466732243,-0.636706782,-0.249807559,-0.313468206,-0.599737142,-0.305175972
