SampleID,Time,Plot,Variety,Treatment,Height,Aboveground_biomass,Belowground_biomass,root_shoot,MIT_ric_sha_ratio
T4_RUDAWA_W5_1_3,W5,134,RUDAWA,Fertilizers,45,76.96,7.01,0.091086279,0.31470564
T4_RUDAWA_W5_1_2,W5,134,RUDAWA,Fertilizers,38,29.21,3.11,0.106470387,0.31470564
T4_SALTO_W5_3_3,W5,79,SALTO,Fertilizers,53,52.22,3.88,0.074301034,0.701195803
T4_SALTO_W5_2_1,W5,137,SALTO,Fertilizers,44,39.4,3.01,0.076395939,0.701195803
T4_SALTO_W5_3_1,W5,79,SALTO,Fertilizers,47,46.56,4.5,0.096649485,0.701195803
T4_SALTO_W5_1_1,W5,84,SALTO,Fertilizers,53,61.45,6.06,0.098616762,0.701195803
T4_SALTO_W5_3_2,W5,79,SALTO,Fertilizers,47,34.86,3.96,0.113597246,0.701195803
T4_SALTO_W5_1_3,W5,84,SALTO,Fertilizers,44,53.3,6.59,0.123639775,0.701195803
T4_SALTO_W5_1_2,W5,84,SALTO,Fertilizers,46,34.56,4.49,0.129918981,0.701195803
T4_SALTO_W5_2_2,W5,137,SALTO,Fertilizers,44,47.79,6.27,0.131198996,0.701195803
T4_SALTO_W5_2_3,W5,137,SALTO,Fertilizers,36,27.93,3.72,0.133190118,0.701195803
T6_ATOL_W5_3_1,W5,35,ATOL,Fertilizers-Pesticides,23,6.99,0.5,0.071530758,-0.676688521
T6_ATOL_W5_1_1,W5,29,ATOL,Fertilizers-Pesticides,40,34.97,2.78,0.079496711,-0.676688521
T6_ATOL_W5_3_3,W5,35,ATOL,Fertilizers-Pesticides,30,8.85,0.72,0.081355932,-0.676688521
T6_ATOL_W5_1_3,W5,29,ATOL,Fertilizers-Pesticides,30,15.3,1.37,0.089542484,-0.676688521
T6_ATOL_W5_3_2,W5,35,ATOL,Fertilizers-Pesticides,37,28.32,2.72,0.096045198,-0.676688521
T6_ATOL_W5_2_3,W5,1,ATOL,Fertilizers-Pesticides,42,18.32,2.08,0.113537118,-0.676688521
T6_ATOL_W5_1_2,W5,29,ATOL,Fertilizers-Pesticides,38,25.29,3.16,0.124950573,-0.676688521
T6_ATOL_W5_2_2,W5,1,ATOL,Fertilizers-Pesticides,45,24.38,3.13,0.128383921,-0.676688521
T6_ATOL_W5_2_1,W5,1,ATOL,Fertilizers-Pesticides,32,17.96,2.38,0.132516704,-0.676688521
T6_DESIREE_W5_2_2,W5,56,DESIREE,Fertilizers-Pesticides,20,7.28,0.43,0.059065934,0.351370362
T6_DESIREE_W5_1_2,W5,5,DESIREE,Fertilizers-Pesticides,31,18.56,1.54,0.082974138,0.351370362
T6_DESIREE_W5_1_3,W5,5,DESIREE,Fertilizers-Pesticides,30,24.87,2.09,0.084036992,0.351370362
T6_DESIREE_W5_1_1,W5,5,DESIREE,Fertilizers-Pesticides,36,18.8,1.71,0.090957447,0.351370362
T6_DESIREE_W5_3_1,W5,25,DESIREE,Fertilizers-Pesticides,38,28.96,2.97,0.102555249,0.351370362
T6_DESIREE_W5_3_3,W5,25,DESIREE,Fertilizers-Pesticides,27,16.58,1.71,0.103136309,0.351370362
T6_DESIREE_W5_3_2,W5,25,DESIREE,Fertilizers-Pesticides,23,5.98,0.64,0.107023411,0.351370362
T6_DESIREE_W5_2_1,W5,56,DESIREE,Fertilizers-Pesticides,19,9.89,1.27,0.128412538,0.351370362
T6_JELLY_W5_1_1,W5,51,JELLY,Fertilizers-Pesticides,23,7.81,0.67,0.085787452,0.138102096
T6_JELLY_W5_2_2,W5,33,JELLY,Fertilizers-Pesticides,35,21.17,1.88,0.088804913,0.138102096
T6_JELLY_W5_1_3,W5,51,JELLY,Fertilizers-Pesticides,40,23.57,2.43,0.103097157,0.138102096
T6_JELLY_W5_1_2,W5,51,JELLY,Fertilizers-Pesticides,29,14.96,1.56,0.104278075,0.138102096
T6_JELLY_W5_3_3,W5,55,JELLY,Fertilizers-Pesticides,43,32.07,3.59,0.111942626,0.138102096
T6_JELLY_W5_3_1,W5,55,JELLY,Fertilizers-Pesticides,25,10.96,1.35,0.123175182,0.138102096
T6_JELLY_W5_2_1,W5,33,JELLY,Fertilizers-Pesticides,37,35.83,4.85,0.135361429,0.138102096
T6_JELLY_W5_3_2,W5,55,JELLY,Fertilizers-Pesticides,23,15.97,2.34,0.146524734,0.138102096
T6_JELLY_W5_2_3,W5,33,JELLY,Fertilizers-Pesticides,28,9.63,1.42,0.147455867,0.138102096
